,90% identity,95% identity,97% identity
TARA_145_MES,6465,992,353
TARA_098_DCM,5031,581,160
TARA_146_SRF,6339,774,228
TARA_148_SRF,6206,786,255
TARA_099_SRF,5830,710,356
TARA_052_SRF,5566,821,385
TARA_041_SRF,6127,876,314
TARA_082_SRF,10372,2318,909
TARA_138_MES,7127,727,199
TARA_110_DCM,7320,1315,652
TARA_056_SRF,6309,926,348
TARA_004_SRF,6529,943,454
TARA_068_DCM,5313,901,251
TARA_066_DCM,3834,924,453
TARA_109_MES,6467,720,102
TARA_072_SRF,6253,957,262
TARA_064_MES,5861,782,255
TARA_067_SRF,8489,2535,1184
TARA_112_MES,6674,984,353
TARA_111_SRF,7200,1320,652
TARA_123_SRF,6787,986,480
TARA_065_DCM,8620,1588,547
TARA_056_MES,7996,1217,367
TARA_138_SRF,6115,922,451
TARA_112_SRF,6066,886,384
TARA_111_MES,5791,513,92
TARA_064_SRF,6064,904,327
TARA_122_DCM,7189,1018,228
TARA_072_MES,6689,807,208
TARA_137_DCM,5845,370,48
TARA_109_SRF,7965,1590,864
TARA_150_SRF,6774,973,414
TARA_145_SRF,5657,702,286
TARA_146_MES,6255,938,333
TARA_033_SRF,5464,870,356
TARA_123_MIX,7780,752,169
TARA_151_DCM,6467,973,423
TARA_039_MES,5671,418,64
TARA_094_SRF,7242,1267,664
TARA_102_MES,6434,1291,569
TARA_018_DCM,6204,772,355
TARA_062_SRF,4558,627,240
TARA_100_DCM,6475,886,389
TARA_078_DCM,6472,858,330
TARA_133_MES,6722,814,220
TARA_009_SRF,9317,1641,817
TARA_076_DCM,6836,979,291
TARA_125_SRF,5995,864,423
TARA_042_DCM,5512,1230,465
TARA_007_DCM,6290,928,394
TARA_142_DCM,6060,811,247
TARA_125_MIX,5485,500,112
TARA_093_DCM,15747,4484,1074
TARA_084_SRF,14918,5333,2870
TARA_038_SRF,5432,809,239
TARA_085_DCM,7480,838,419
TARA_140_SRF,7054,1071,424
TARA_023_DCM,4472,518,247
TARA_030_DCM,6404,944,465
TARA_038_MES,5437,588,134
TARA_102_SRF,5865,843,486
TARA_034_SRF,4978,761,276
TARA_132_DCM,5808,645,192
TARA_036_DCM,6581,1033,438
TARA_025_DCM,6096,791,331
TARA_128_SRF,7080,1128,559
TARA_133_SRF,8120,1840,955
TARA_032_SRF,4956,514,153
TARA_141_SRF,6918,1038,472
TARA_142_MES,8931,1530,411
TARA_004_DCM,7352,1261,593
TARA_085_SRF,8154,1234,667
TARA_041_DCM,4611,593,211
TARA_132_SRF,5361,606,235
TARA_102_DCM,6709,1181,596
TARA_052_DCM,5694,798,371
TARA_045_SRF,6063,867,338
TARA_100_MES,5897,587,156
TARA_078_MES,5823,703,206
TARA_076_MES,8266,1280,399
TARA_133_DCM,7058,1273,616
TARA_128_DCM,5973,818,416
TARA_124_SRF,7407,1235,569
TARA_031_SRF,5920,903,367
TARA_132_MES,6809,707,128
TARA_078_SRF,5716,706,326
TARA_076_SRF,6136,750,295
TARA_148b_MES,5899,690,254
TARA_100_SRF,7664,1594,906
TARA_039_DCM,5676,937,428
TARA_142_SRF,6306,1104,447
TARA_037_MES,6833,541,67
TARA_124_MIX,8553,1274,464
TARA_085_MES,6212,523,79
TARA_093_SRF,9213,1849,482
TARA_070_SRF,5957,1707,745
TARA_138_DCM,4555,456,175
TARA_110_MES,6328,846,308
TARA_068_MES,6143,605,114
TARA_065_SRF,4842,729,262
TARA_109_DCM,6312,1058,546
TARA_048_SRF,7079,1186,549
TARA_007_SRF,5566,724,308
TARA_137_SRF,6894,1152,598
TARA_122_SRF,5801,760,372
TARA_064_DCM,5987,763,284
TARA_112_DCM,5412,672,257
TARA_009_DCM,5767,784,412
TARA_098_MES,5124,366,38
TARA_150_DCM,5990,729,301
TARA_042_SRF,5594,740,285
TARA_149_MES,6786,1158,407
TARA_151_SRF,6024,867,424
TARA_018_SRF,6296,776,336
TARA_152_MES,6727,1033,298
TARA_025_SRF,9858,1999,985
TARA_036_SRF,6150,1181,485
TARA_098_SRF,5217,542,274
TARA_032_DCM,7739,938,224
TARA_096_SRF,7653,988,487
TARA_030_SRF,5152,537,257
TARA_152_SRF,6295,918,474
TARA_082_DCM,15891,4580,1940
TARA_023_SRF,5107,621,278
TARA_149_SRF,6860,1023,377
TARA_034_DCM,5758,1160,425
TARA_068_SRF,5778,675,247
TARA_066_SRF,5146,760,351
TARA_065_MES,7065,991,251
TARA_152_MIX,6905,1129,573
TARA_058_DCM,5399,743,261
TARA_110_SRF,7401,1381,739
TARA_070_MES,9241,1163,336
TARA_111_DCM,5683,713,308
TARA_057_SRF,6283,926,356
TARA_038_DCM,5900,743,267
TARA_122_MES,7149,1000,330
TARA_137_MES,7596,756,166
TARA_072_DCM,5791,1228,465
