Assembly	TARA_PSW_RAW
# misassemblies	0
  # contig misassemblies	0
    # c. relocations	0
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	0
Misassembled contigs length	0
# possibly misassembled contigs	378
    # possible misassemblies	470
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# mismatches	642
# indels	12
    # indels (<= 5 bp)	12
    # indels (> 5 bp)	0
Indels length	15
